Appends Phylogenetic IDs (PIDs) for 90 Taxa
Most Divergent Branch: abcefgrstuvwxEFIJKL
Number of unique groups: 5
Total Counts for each group: 
Group A: 39
Group !: 7
Group C: 39
Group B: 2
Group D: 3
Taxa_New_Name	Old_Name
Ls_NOR_Unit_87_C14___A:hijkpqrst	Ls_NOR_Unit_87_C14
Ls_NOR_Unit_55_C27___A:hijkpqrs	Ls_NOR_Unit_55_C27
Ls_NOR_Unit_16_C61___A:v	Ls_NOR_Unit_16_C61
Ls_NOR_Unit_40_C32___A:vw	Ls_NOR_Unit_40_C32
Ls_NOR_Unit_30_C41___A:vwx	Ls_NOR_Unit_30_C41
Ls_NOR_Unit_48_C28___A:vwxyz	Ls_NOR_Unit_48_C28
Ls_NOR_Unit_15_C61___A:vwxyz	Ls_NOR_Unit_15_C61
Ls_NOR_Unit_41_C32___A:vwxyABC	Ls_NOR_Unit_41_C32
Ls_NOR_Unit_27_C44___A:vwxyABC	Ls_NOR_Unit_27_C44
Ls_NOR_Unit_85_C15___A:vwxyABDE	Ls_NOR_Unit_85_C15
Ls_NOR_Unit_70_C20___A:vwxyABDE	Ls_NOR_Unit_70_C20
Ls_NOR_Unit_51_C28___A:vwxyABDFG	Ls_NOR_Unit_51_C28
Ls_NOR_Unit_50_C28___A:vwxyABDFG	Ls_NOR_Unit_50_C28
Ls_NOR_Unit_32_C36___A:vwxyABDFH	Ls_NOR_Unit_32_C36
Ls_NOR_Unit_29_C41___A:vwxyABDFHI	Ls_NOR_Unit_29_C41
Ls_NOR_Unit_60_C22___A:vwxyABDFHIJ	Ls_NOR_Unit_60_C22
Ls_NOR_Unit_23_C52___A:vwxyABDFHIJK	Ls_NOR_Unit_23_C52
Ls_NOR_Unit_26_C47___A:vwxyABDFHIJKL	Ls_NOR_Unit_26_C47
Ls_NOR_Unit_13_C72___A:vwxyABDFHIJKL	Ls_NOR_Unit_13_C72
Ls_NOR_Unit_01_C6467_A:vwxyA	Ls_NOR_Unit_01_C6467
